						
	Median	Median	Median	Median		Average Error
						
	Average Error	Average Error	Average Error	Average Error		
#1022 Valores	0,6923509384	0,6924312906	0,6923511429	0,6923509384		
						
	RMODE11 Error	RMODE10 Error	RMODE01 Error	RMODE00 Error		
	0,106575	0,106641	0,106575	0,106575		
	0,107517	0,107569	0,107517	0,107517		
	0,108433	0,108492	0,108433	0,108433		
	0,109366	0,109424	0,109366	0,109366		
	0,110301	0,110352	0,110301	0,110301		
	0,111245	0,111297	0,111245	0,111245		
	0,112192	0,112251	0,112192	0,112192		
	0,113134	0,113193	0,113134	0,113134		
	0,109671	0,109722	0,109671	0,109671		
	0,111845	0,111926	0,111845	0,111845		
	0,112805	0,112886	0,112805	0,112805		
	0,113760	0,113849	0,113760	0,113760		
	0,114740	0,114792	0,114740	0,114740		
	0,111201	0,111275	0,111201	0,111201		
	0,112151	0,112233	0,112151	0,112151		
	0,113111	0,113193	0,113111	0,113111		
	0,114073	0,114163	0,114073	0,114073		
	0,115068	0,115135	0,115068	0,115068		
	0,116028	0,116110	0,116028	0,116028		
	0,117020	0,117102	0,117020	0,117020		
	0,118023	0,118097	0,118023	0,118023		
	0,114397	0,114479	0,114397	0,114397		
	0,115369	0,115444	0,115369	0,115369		
	0,116359	0,116419	0,116359	0,116359		
	0,117359	0,117434	0,117359	0,117359		
	0,118354	0,118429	0,118354	0,118354		
	0,119359	0,119427	0,119359	0,119359		
	0,120359	0,120427	0,120359	0,120359		
	0,116640	0,116716	0,116640	0,116640		
	0,117648	0,117723	0,117648	0,117648		
	0,118809	0,118885	0,118809	0,118809		
	0,119830	0,119898	0,119830	0,119830		
	0,120846	0,120899	0,120846	0,120846		
	0,121856	0,121925	0,121856	0,121856		
	0,122885	0,122954	0,122885	0,122885		
	0,119087	0,119155	0,119087	0,119087		
	0,120123	0,120176	0,120123	0,120123		
	0,121132	0,121200	0,121132	0,121132		
	0,122166	0,122227	0,122166	0,122166		
	0,123195	0,123264	0,123195	0,123195		
	0,124250	0,124319	0,124250	0,124250		
	0,125293	0,125347	0,125293	0,125293		
	0,126339	0,126423	0,126339	0,126339		
	0,122440	0,122524	0,122440	0,122440		
	0,123501	0,123562	0,123501	0,123501		
	0,124549	0,124618	0,124549	0,124549		
	0,125592	0,125669	0,125592	0,125592		
	0,126669	0,126747	0,126669	0,126669		
	0,127711	0,127788	0,127711	0,127711		
	0,128802	0,128872	0,128802	0,128802		
	0,126230	0,126284	0,126230	0,126230		
	0,127299	0,127354	0,127299	0,127299		
	0,128379	0,128434	0,128379	0,128379		
	0,129447	0,129509	0,129447	0,129447		
	0,130548	0,130603	0,130548	0,130548		
	0,131630	0,131685	0,131630	0,131630		
	0,127568	0,127638	0,127568	0,127568		
	0,128649	0,128719	0,128649	0,128649		
	0,129741	0,129811	0,129741	0,129741		
	0,130844	0,130899	0,130844	0,130844		
	0,131942	0,132020	0,131942	0,131942		
	0,133075	0,133122	0,133075	0,133075		
	0,134180	0,134243	0,134180	0,134180		
	0,130015	0,130093	0,130015	0,130015		
	0,131135	0,131198	0,131135	0,131135		
	0,132250	0,132305	0,132250	0,132250		
	0,133361	0,133424	0,133361	0,133361		
	0,134483	0,134554	0,134483	0,134483		
	0,135608	0,135680	0,135608	0,135608		
	0,136753	0,136817	0,136753	0,136753		
	0,138076	0,138140	0,138076	0,138076		
	0,133818	0,133882	0,133818	0,133818		
	0,134950	0,135022	0,134950	0,134950		
	0,136085	0,136149	0,136085	0,136085		
	0,137224	0,137296	0,137224	0,137224		
	0,138382	0,138446	0,138382	0,138382		
	0,139544	0,139608	0,139544	0,139544		
	0,140693	0,140773	0,140693	0,140693		
	0,136360	0,136424	0,136360	0,136360		
	0,137524	0,137581	0,137524	0,137524		
	0,138685	0,138749	0,138685	0,138685		
	0,139873	0,139953	0,139873	0,139873		
	0,141032	0,141121	0,141032	0,141032		
	0,142211	0,142300	0,142211	0,142211		
	0,143394	0,143491	0,143394	0,143394		
	0,144597	0,144686	0,144597	0,144597		
	0,140133	0,140222	0,140133	0,140133		
	0,141319	0,141417	0,141319	0,141319		
	0,142517	0,142598	0,142517	0,142517		
	0,143718	0,143800	0,143718	0,143718		
	0,144924	0,144997	0,144924	0,144924		
	0,142011	0,142077	0,142011	0,142011		
	0,143227	0,143292	0,143227	0,143227		
	0,144421	0,144503	0,144421	0,144421		
	0,145644	0,145718	0,145644	0,145644		
	0,146879	0,146937	0,146879	0,146879		
	0,148102	0,148152	0,148102	0,148102		
	0,149337	0,149403	0,149337	0,149337		
	0,150567	0,150634	0,150567	0,150567		
	0,145932	0,145990	0,145932	0,145932		
	0,147162	0,147229	0,147162	0,147162		
	0,148429	0,148496	0,148429	0,148429		
	0,149676	0,149734	0,149676	0,149676		
	0,150926	0,150993	0,150926	0,150926		
	0,152197	0,152256	0,152197	0,152197		
	0,153448	0,153531	0,153448	0,153448		
	0,148712	0,148770	0,148712	0,148712		
	0,149953	0,150028	0,149953	0,149953		
	0,151232	0,151307	0,151232	0,151232		
	0,152490	0,152565	0,152490	0,152490		
	0,153777	0,153844	0,153777	0,153777		
	0,152165	0,152241	0,152165	0,152165		
	0,153659	0,153735	0,153659	0,153659		
	0,154938	0,155023	0,154938	0,154938		
	0,156231	0,156324	0,156231	0,156231		
	0,157544	0,157629	0,157544	0,157544		
	0,158845	0,158947	0,158845	0,158845		
	0,153947	0,154032	0,153947	0,153947		
	0,155239	0,155341	0,155239	0,155239		
	0,156552	0,156654	0,156552	0,156552		
	0,157878	0,157963	0,157878	0,157878		
	0,159192	0,159277	0,159192	0,159192		
	0,160544	0,160639	0,160544	0,160544		
	0,161884	0,161979	0,161884	0,161884		
	0,156870	0,156973	0,156870	0,156870		
	0,158192	0,158304	0,158192	0,158192		
	0,159527	0,159631	0,159527	0,159527		
	0,160858	0,160971	0,160858	0,160858		
	0,162220	0,162307	0,162220	0,162220		
	0,163578	0,163674	0,163578	0,163578		
	0,164941	0,165046	0,164941	0,164941		
	0,166326	0,166431	0,166326	0,166326		
	0,163038	0,163134	0,163038	0,163038		
	0,164416	0,164504	0,164416	0,164416		
	0,165791	0,165879	0,165791	0,165791		
	0,167180	0,167258	0,167180	0,167180		
	0,168573	0,168670	0,168573	0,168573		
	0,163344	0,163441	0,163344	0,163344		
	0,164737	0,164834	0,164737	0,164737		
	0,166143	0,166231	0,166143	0,166143		
	0,167528	0,167616	0,167528	0,167528		
	0,168936	0,169042	0,168936	0,168936		
	0,170349	0,170464	0,170349	0,170349		
	0,171785	0,171900	0,171785	0,171785		
	0,173208	0,173324	0,173208	0,173208		
	0,167875	0,167982	0,167875	0,167875		
	0,169297	0,169404	0,169297	0,169297		
	0,170733	0,170850	0,170733	0,170733		
	0,172184	0,172283	0,172184	0,172184		
	0,173632	0,173722	0,173632	0,173632		
	0,175075	0,175156	0,175075	0,175075		
	0,176543	0,176642	0,176543	0,176543		
	0,171072	0,171162	0,171072	0,171072		
	0,172764	0,172864	0,172764	0,172764		
	0,174236	0,174336	0,174236	0,174236		
	0,175705	0,175805	0,175705	0,175705		
	0,177170	0,177288	0,177170	0,177170		
	0,178659	0,178777	0,178659	0,178659		
	0,180163	0,180281	0,180163	0,180163		
	0,181654	0,181782	0,181654	0,181654		
	0,176072	0,176173	0,176072	0,176072		
	0,177553	0,177672	0,177553	0,177553		
	0,179067	0,179168	0,179067	0,179067		
	0,180597	0,180707	0,180597	0,180597		
	0,182114	0,182224	0,182114	0,182114		
	0,183636	0,183757	0,183636	0,183636		
	0,185175	0,185286	0,185175	0,185175		
	0,179457	0,179586	0,179457	0,179457		
	0,180993	0,181096	0,180993	0,180993		
	0,182536	0,182639	0,182536	0,182536		
	0,184076	0,184188	0,184076	0,184076		
	0,185632	0,185744	0,185632	0,185632		
	0,187202	0,187296	0,187202	0,187202		
	0,183425	0,183537	0,183425	0,183425		
	0,184989	0,185111	0,184989	0,184989		
	0,186550	0,186663	0,186550	0,186550		
	0,188136	0,188249	0,188136	0,188136		
	0,189728	0,189823	0,189728	0,189728		
	0,191318	0,191422	0,191318	0,191318		
	0,192923	0,193037	0,192923	0,192923		
	0,186981	0,187085	0,186981	0,186981		
	0,188576	0,188680	0,188576	0,188576		
	0,190177	0,190282	0,190177	0,190177		
	0,191813	0,191918	0,191813	0,191813		
	0,193437	0,193533	0,193437	0,193437		
	0,195068	0,195174	0,195068	0,195068		
